"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG4015](https://wg21.link/LWG4015)","LWG 3973 broke const overloads of `std::optional` monadic operations","2025-11 (Kona)","","","[#171310](https://github.com/llvm/llvm-project/issues/171310)",""
"[LWG4020](https://wg21.link/LWG4020)","`extents::index-cast` weirdness","2025-11 (Kona)","{{Complete}}","23","[#171311](https://github.com/llvm/llvm-project/issues/171311)",""
"[LWG4136](https://wg21.link/LWG4136)","Specify behavior of [linalg] Hermitian algorithms on diagonal with nonzero imaginary part","2025-11 (Kona)","","","[#171312](https://github.com/llvm/llvm-project/issues/171312)",""
"[LWG4137](https://wg21.link/LWG4137)","Fix *Mandates*, *Preconditions*, and *Complexity* elements of [linalg] algorithms","2025-11 (Kona)","","","[#171313](https://github.com/llvm/llvm-project/issues/171313)",""
"[LWG4166](https://wg21.link/LWG4166)","`concat_view::end()` should be more constrained in order to support noncopyable iterators","2025-11 (Kona)","{{Complete}}","23","[#171314](https://github.com/llvm/llvm-project/issues/171314)",""
"[LWG4230](https://wg21.link/LWG4230)","`simd<complex>::real/imag` is overconstrained","2025-11 (Kona)","","","[#171316](https://github.com/llvm/llvm-project/issues/171316)",""
"[LWG4243](https://wg21.link/LWG4243)","`as_bytes`/`as_writable_bytes` is broken with `span<volatile T>`","2025-11 (Kona)","{{Complete}}","23","[#171317](https://github.com/llvm/llvm-project/issues/171317)",""
"[LWG4251](https://wg21.link/LWG4251)","Move assignment for `indirect` unnecessarily requires copy construction","2025-11 (Kona)","","","[#171318](https://github.com/llvm/llvm-project/issues/171318)",""
"[LWG4253](https://wg21.link/LWG4253)","`basic_const_iterator` should provide `iterator_type`","2025-11 (Kona)","","","[#171319](https://github.com/llvm/llvm-project/issues/171319)",""
"[LWG4255](https://wg21.link/LWG4255)","`move_only_function` constructor should recognize empty `copyable_function`s","2025-11 (Kona)","","","[#171320](https://github.com/llvm/llvm-project/issues/171320)",""
"[LWG4256](https://wg21.link/LWG4256)","Incorrect constrains for `function_ref` constructors from `nontype_t`","2025-11 (Kona)","{{Complete}}","24","[#171321](https://github.com/llvm/llvm-project/issues/171321)",""
"[LWG4257](https://wg21.link/LWG4257)","Stream insertion for `chrono::local_time` should be constrained","2025-11 (Kona)","","","[#171322](https://github.com/llvm/llvm-project/issues/171322)",""
"[LWG4260](https://wg21.link/LWG4260)","Query objects must be default constructible","2025-11 (Kona)","","","[#171323](https://github.com/llvm/llvm-project/issues/171323)",""
"[LWG4265](https://wg21.link/LWG4265)","`std::midpoint` should not accept `const bool`","2025-11 (Kona)","{{Complete}}","22","[#171324](https://github.com/llvm/llvm-project/issues/171324)",""
"[LWG4266](https://wg21.link/LWG4266)","`layout_stride::mapping` should treat empty mappings as exhaustive","2025-11 (Kona)","{{Complete}}","23","[#171325](https://github.com/llvm/llvm-project/issues/171325)",""
"[LWG4269](https://wg21.link/LWG4269)","`unique_copy` passes arguments to its predicate backwards","2025-11 (Kona)","","","[#171326](https://github.com/llvm/llvm-project/issues/171326)",""
"[LWG4272](https://wg21.link/LWG4272)","For `rank == 0`, `layout_stride` is atypically convertible","2025-11 (Kona)","","","[#171327](https://github.com/llvm/llvm-project/issues/171327)",""
"[LWG4274](https://wg21.link/LWG4274)","The `chrono::hh_mm_ss` constructor is ill-formed for unsigned durations","2025-11 (Kona)","{{Complete}}","24","[#171328](https://github.com/llvm/llvm-project/issues/171328)",""
"[LWG4275](https://wg21.link/LWG4275)","`std::dynamic_extent` should also be defined in `<mdspan>`","2025-11 (Kona)","{{Complete}}","21","[#171329](https://github.com/llvm/llvm-project/issues/171329)",""
"[LWG4276](https://wg21.link/LWG4276)","`front()` and `back()` are not hardened for zero-length `std::array`s","2025-11 (Kona)","{{Complete}}","17","[#171330](https://github.com/llvm/llvm-project/issues/171330)",""
"[LWG4280](https://wg21.link/LWG4280)","`simd::partial_load` uses undefined identifier `T`","2025-11 (Kona)","","","[#171331](https://github.com/llvm/llvm-project/issues/171331)",""
"[LWG4286](https://wg21.link/LWG4286)","Some more feature-test macros for fully freestanding features are not marked freestanding","2025-11 (Kona)","","","[#171332](https://github.com/llvm/llvm-project/issues/171332)",""
"[LWG4291](https://wg21.link/LWG4291)","`explicit map(const Allocator&)` should be `constexpr`","2025-11 (Kona)","","","[#171333](https://github.com/llvm/llvm-project/issues/171333)",""
"[LWG4292](https://wg21.link/LWG4292)","Unordered container local iterators should be constexpr iterators","2025-11 (Kona)","","","[#171334](https://github.com/llvm/llvm-project/issues/171334)",""
"[LWG4293](https://wg21.link/LWG4293)","span::subspan/first/last chooses wrong constructor when T is const-qualified bool","2025-11 (Kona)","","","[#171335](https://github.com/llvm/llvm-project/issues/171335)",""
"[LWG4294](https://wg21.link/LWG4294)","`bitset(const CharT*)` constructor needs to be constrained","2025-11 (Kona)","","","[#171336](https://github.com/llvm/llvm-project/issues/171336)",""
"[LWG4297](https://wg21.link/LWG4297)","Missing `permutable` constraint for iterator overloads in Parallel Range Algorithms","2025-11 (Kona)","","","[#171338](https://github.com/llvm/llvm-project/issues/171338)",""
"[LWG4299](https://wg21.link/LWG4299)","Missing *Mandates:* part in `optional<T&>::transform`","2025-11 (Kona)","","","[#171339](https://github.com/llvm/llvm-project/issues/171339)",""
"[LWG4300](https://wg21.link/LWG4300)","Missing *Returns:* element in `optional<T&>::emplace`","2025-11 (Kona)","{{Complete}}","22","[#171340](https://github.com/llvm/llvm-project/issues/171340)",""
"[LWG4301](https://wg21.link/LWG4301)","`condition_variable{_any}::wait_{for, until}` should take timeout by value","2025-11 (Kona)","","","[#171341](https://github.com/llvm/llvm-project/issues/171341)",""
"[LWG4302](https://wg21.link/LWG4302)","Problematic `vector_sum_of_squares` wording","2025-11 (Kona)","","","[#171342](https://github.com/llvm/llvm-project/issues/171342)",""
"[LWG4304](https://wg21.link/LWG4304)","`std::optional<NonReturnable&>` is ill-formed due to `value_or`","2025-11 (Kona)","","","[#171343](https://github.com/llvm/llvm-project/issues/171343)",""
"[LWG4305](https://wg21.link/LWG4305)","Missing user requirements on `type_order` template","2025-11 (Kona)","{{Complete}}","24","[#171344](https://github.com/llvm/llvm-project/issues/171344)",""
"[LWG4308](https://wg21.link/LWG4308)","`std::optional<T&>::iterator` can't be a contiguous iterator for some `T`","2025-11 (Kona)","{{Complete}}","22","[#171345](https://github.com/llvm/llvm-project/issues/171345)",""
"[LWG4312](https://wg21.link/LWG4312)","Const and value category mismatch for `allocator_arg_t`/`allocator_arg` in the description of uses-allocator construction","2025-11 (Kona)","","","[#171346](https://github.com/llvm/llvm-project/issues/171346)",""
"[LWG4315](https://wg21.link/LWG4315)","Insufficient specification of `vector_two_norm` and `matrix_frob_norm`","2025-11 (Kona)","","","[#171347](https://github.com/llvm/llvm-project/issues/171347)",""
"[LWG4316](https://wg21.link/LWG4316)","`{can_}substitute` specification is ill-formed","2025-11 (Kona)","","","[#171348](https://github.com/llvm/llvm-project/issues/171348)",""
"[LWG4317](https://wg21.link/LWG4317)","The meaning of ""resource"" in the *Cpp17Destructible* requirements is undefined","2025-11 (Kona)","","","[#171349](https://github.com/llvm/llvm-project/issues/171349)",""
"[LWG4318](https://wg21.link/LWG4318)","Have `hive::erase_if` reevaluate `end()` to avoid UB","2025-11 (Kona)","","","[#171350](https://github.com/llvm/llvm-project/issues/171350)",""
"[LWG4328](https://wg21.link/LWG4328)","Remove note in §[exec.sched] regarding waiting for completion of scheduled operations","2025-11 (Kona)","","","[#171351](https://github.com/llvm/llvm-project/issues/171351)",""
"[LWG4340](https://wg21.link/LWG4340)","`task::promise_type::unhandled_stopped()` should be `noexcept`","2025-11 (Kona)","","","[#171352](https://github.com/llvm/llvm-project/issues/171352)",""
"[LWG4341](https://wg21.link/LWG4341)","Missing rvalue reference qualification for `task::connect()`","2025-11 (Kona)","","","[#171353](https://github.com/llvm/llvm-project/issues/171353)",""
"[LWG4342](https://wg21.link/LWG4342)","Missing rvalue reference qualification for `task_scheduler::ts-sender::connect()`","2025-11 (Kona)","","","[#171354](https://github.com/llvm/llvm-project/issues/171354)",""
"[LWG4343](https://wg21.link/LWG4343)","Missing default template arguments for `task`","2025-11 (Kona)","","","[#171355](https://github.com/llvm/llvm-project/issues/171355)",""
"[LWG4345](https://wg21.link/LWG4345)","`task::promise_type::return_value` default template parameter","2025-11 (Kona)","","","[#171356](https://github.com/llvm/llvm-project/issues/171356)",""
"[LWG4346](https://wg21.link/LWG4346)","`task::promise_type::return_void`/`value lack` a specification","2025-11 (Kona)","","","[#171357](https://github.com/llvm/llvm-project/issues/171357)",""
"[LWG4349](https://wg21.link/LWG4349)","`task` is not actually started lazily","2025-11 (Kona)","","","[#171358](https://github.com/llvm/llvm-project/issues/171358)",""
"[LWG4351](https://wg21.link/LWG4351)","`integral-constant-like` needs more `remove_cvref_t`","2025-11 (Kona)","{{Complete}}","23","[#171359](https://github.com/llvm/llvm-project/issues/171359)",""
"[LWG4358](https://wg21.link/LWG4358)","§[exec.as.awaitable] is using ""Preconditions:"" when it should probably be described in the constraint","2025-11 (Kona)","","","[#171360](https://github.com/llvm/llvm-project/issues/171360)",""
"[LWG4360](https://wg21.link/LWG4360)","`awaitable-sender` concept should qualify use of `awaitable-receiver` type","2025-11 (Kona)","","","[#171361](https://github.com/llvm/llvm-project/issues/171361)",""
"[LWG4366](https://wg21.link/LWG4366)","Heterogeneous comparison of `expected` may be ill-formed","2025-11 (Kona)","{{Complete}}","23","[#171362](https://github.com/llvm/llvm-project/issues/171362)",""
"[LWG4369](https://wg21.link/LWG4369)","`check-types` function for `upon_error` and `upon_stopped` is wrong","2025-11 (Kona)","","","[#171363](https://github.com/llvm/llvm-project/issues/171363)",""
"[LWG4370](https://wg21.link/LWG4370)","Comparison of `optional<T>` to `T` may be ill-formed","2025-11 (Kona)","{{Complete}}","22","[#171364](https://github.com/llvm/llvm-project/issues/171364)",""
"[LWG4372](https://wg21.link/LWG4372)","Weaken *Mandates:* for dynamic padding values in padded layouts","2025-11 (Kona)","","","[#171365](https://github.com/llvm/llvm-project/issues/171365)",""
"[LWG4375](https://wg21.link/LWG4375)","`std::simd::bit_ceil` should not be `noexcept`","2025-11 (Kona)","","","[#171366](https://github.com/llvm/llvm-project/issues/171366)",""
"[LWG4376](https://wg21.link/LWG4376)","ABI tag in return type of [simd.mask.unary] is overconstrained","2025-11 (Kona)","","","[#171367](https://github.com/llvm/llvm-project/issues/171367)",""
"[LWG4377](https://wg21.link/LWG4377)","Misleading note about lock-free property of `std::atomic_ref`","2025-11 (Kona)","","","[#171368](https://github.com/llvm/llvm-project/issues/171368)",""
"[LWG4382](https://wg21.link/LWG4382)","The `simd::basic_mask(bool)` overload needs to be more constrained","2025-11 (Kona)","","","[#171369](https://github.com/llvm/llvm-project/issues/171369)",""
"[LWG4383](https://wg21.link/LWG4383)","`constant_wrapper`\'s pseudo-mutators are underconstrained","2025-11 (Kona)","{{Complete}}","23","[#171370](https://github.com/llvm/llvm-project/issues/171370)",""
"[LWG4384](https://wg21.link/LWG4384)","`flat_set::erase(iterator)` is underconstrained","2025-11 (Kona)","","","[#171371](https://github.com/llvm/llvm-project/issues/171371)",""
"[LWG4388](https://wg21.link/LWG4388)","Align new definition of `va_start` with C23","2025-11 (Kona)","","","[#171372](https://github.com/llvm/llvm-project/issues/171372)",""
"[LWG4396](https://wg21.link/LWG4396)","Improve `inplace_vector(from_range_t, R&& rg)`","2025-11 (Kona)","","","[#171373](https://github.com/llvm/llvm-project/issues/171373)",""
"[LWG4398](https://wg21.link/LWG4398)","`enable_nonlocking_formatter_optimization` should be disabled for container adaptors","2025-11 (Kona)","","","[#171375](https://github.com/llvm/llvm-project/issues/171375)",""
"[LWG4399](https://wg21.link/LWG4399)","`enable_nonlocking_formatter_optimization` for `pair` and `tuple` needs `remove_cvref_t`","2025-11 (Kona)","","","[#171376](https://github.com/llvm/llvm-project/issues/171376)",""
"[LWG4403](https://wg21.link/LWG4403)","`simd::basic_vec` CTAD misses difference type casting","2025-11 (Kona)","","","[#171377](https://github.com/llvm/llvm-project/issues/171377)",""
"[LWG4407](https://wg21.link/LWG4407)","`constexpr-wrapper-like` needs `remove_cvref_t` in `simd::basic_vec` constructor","2025-11 (Kona)","","","[#171378](https://github.com/llvm/llvm-project/issues/171378)",""
"[LWG4412](https://wg21.link/LWG4412)","Fix declaration of `zero_element` and `uninit_element`","2025-11 (Kona)","","","[#171379](https://github.com/llvm/llvm-project/issues/171379)",""
"[LWG4413](https://wg21.link/LWG4413)","Unused/left-over `simd::alignment` specialization for `basic_mask`","2025-11 (Kona)","","","[#171380](https://github.com/llvm/llvm-project/issues/171380)",""
"[LWG4415](https://wg21.link/LWG4415)","`task::promise_type::uncaught_exception` seems to be misnamed","2025-11 (Kona)","","","[#171381](https://github.com/llvm/llvm-project/issues/171381)",""
"[LWG4416](https://wg21.link/LWG4416)","`<meta>` should include `<compare>`","2025-11 (Kona)","","","[#171382](https://github.com/llvm/llvm-project/issues/171382)",""
"[LWG4420](https://wg21.link/LWG4420)","§[simd] conversions (constructor, load, stores, gather, and scatter) are incorrectly constrained for `<stdfloat>` types","2025-11 (Kona)","","","[#171383](https://github.com/llvm/llvm-project/issues/171383)",""
"[LWG4422](https://wg21.link/LWG4422)","`meta::access_context` should be a consteval-only type","2025-11 (Kona)","","","[#171384](https://github.com/llvm/llvm-project/issues/171384)",""
"[LWG4423](https://wg21.link/LWG4423)","`meta::data_member_spec` allows negative bit-field widths","2025-11 (Kona)","","","[#171385](https://github.com/llvm/llvm-project/issues/171385)",""
"[LWG4424](https://wg21.link/LWG4424)","`meta::define_aggregate` should require a class type","2025-11 (Kona)","","","[#171386](https://github.com/llvm/llvm-project/issues/171386)",""
"[LWG4425](https://wg21.link/LWG4425)","CTAD `function_ref` of data member pointer should produce noexcept signature","2025-11 (Kona)","{{Complete}}","24","[#171387](https://github.com/llvm/llvm-project/issues/171387)",""
"[LWG4426](https://wg21.link/LWG4426)","Clarify what `meta::reflect_constant_string` considers a string literal","2025-11 (Kona)","","","[#171388](https://github.com/llvm/llvm-project/issues/171388)",""
"[LWG4427](https://wg21.link/LWG4427)","`meta::dealias` needs to work with things that aren't entities","2025-11 (Kona)","","","[#171390](https://github.com/llvm/llvm-project/issues/171390)",""
"[LWG4428](https://wg21.link/LWG4428)","Metafunctions should not be defined in terms of constant subexpressions","2025-11 (Kona)","","","[#171391](https://github.com/llvm/llvm-project/issues/171391)",""
"[LWG4429](https://wg21.link/LWG4429)","`meta::alignment_of` should exclude data member description of bit-field","2025-11 (Kona)","","","[#171393](https://github.com/llvm/llvm-project/issues/171393)",""
"[LWG4430](https://wg21.link/LWG4430)","`from_chars` should not parse `0b""` base prefixes""","2025-11 (Kona)","","","[#171394](https://github.com/llvm/llvm-project/issues/171394)",""
"[LWG4431](https://wg21.link/LWG4431)","Parallel `std::ranges::destroy` should allow exceptions","2025-11 (Kona)","","","[#171396](https://github.com/llvm/llvm-project/issues/171396)",""
"[LWG4432](https://wg21.link/LWG4432)","Clarify element initialization for `meta::reflect_constant_array`","2025-11 (Kona)","","","[#171397](https://github.com/llvm/llvm-project/issues/171397)",""
"[LWG4433](https://wg21.link/LWG4433)","Incorrect query for C language linkage","2025-11 (Kona)","","","[#171398](https://github.com/llvm/llvm-project/issues/171398)",""
"[LWG4434](https://wg21.link/LWG4434)","`meta::is_accessible` does not need to consider incomplete *D*","2025-11 (Kona)","","","[#171399](https://github.com/llvm/llvm-project/issues/171399)",""
"[LWG4435](https://wg21.link/LWG4435)","`meta::has_identifier` doesn't handle all types","2025-11 (Kona)","","","[#171400](https://github.com/llvm/llvm-project/issues/171400)",""
"[LWG4438](https://wg21.link/LWG4438)","Bad expression in [exec.when.all]","2025-11 (Kona)","","","[#171401](https://github.com/llvm/llvm-project/issues/171401)",""
"[LWG4439](https://wg21.link/LWG4439)","`std::optional<T&>::swap` possibly selects ADL-found `swap`","2025-11 (Kona)","{{Complete}}","22","[#171402](https://github.com/llvm/llvm-project/issues/171402)",""
"[LWG4440](https://wg21.link/LWG4440)","Forward declarations of entities need also in entries","2025-11 (Kona)","","","[#171403](https://github.com/llvm/llvm-project/issues/171403)",""
"[LWG4441](https://wg21.link/LWG4441)","`ranges::rotate` do not handle sized-but-not-sized-sentinel ranges correctly","2025-11 (Kona)","","","[#171404](https://github.com/llvm/llvm-project/issues/171404)",""
"[LWG4442](https://wg21.link/LWG4442)","Clarify `expr` and `fn` for `meta::reflect_object` and `meta::reflect_function`","2025-11 (Kona)","","","[#171405](https://github.com/llvm/llvm-project/issues/171405)",""
"[LWG4443](https://wg21.link/LWG4443)","Clean up identifier comparisons in `meta::define_aggregate`","2025-11 (Kona)","","","[#171406](https://github.com/llvm/llvm-project/issues/171406)",""
"[LWG4444](https://wg21.link/LWG4444)","Fix default template arguments for `ranges::replace` and `ranges::replace_if`","2025-11 (Kona)","","","[#171407](https://github.com/llvm/llvm-project/issues/171407)",""
"[LWG4445](https://wg21.link/LWG4445)","`sch_` must not be in moved-from state","2025-11 (Kona)","","","[#171408](https://github.com/llvm/llvm-project/issues/171408)",""
"[LWG4446](https://wg21.link/LWG4446)","Bad phrasing for `SCHED(s)`","2025-11 (Kona)","","","[#171409](https://github.com/llvm/llvm-project/issues/171409)",""
"[LWG4447](https://wg21.link/LWG4447)","Remove unnecessary `sizeof...(Env) > 1` condition","2025-11 (Kona)","","","[#171410](https://github.com/llvm/llvm-project/issues/171410)",""
"[LWG4448](https://wg21.link/LWG4448)","Do not forward `fn` in `completion_signatures`","2025-11 (Kona)","","","[#171411](https://github.com/llvm/llvm-project/issues/171411)",""
"[LWG4449](https://wg21.link/LWG4449)","`define_aggregate` members must be public","2025-11 (Kona)","","","[#171412](https://github.com/llvm/llvm-project/issues/171412)",""
"[LWG4450](https://wg21.link/LWG4450)","`std::atomic_ref<T>::store_key` should be disabled for const `T`","2025-11 (Kona)","","","[#171414](https://github.com/llvm/llvm-project/issues/171414)",""
"[LWG4451](https://wg21.link/LWG4451)","`make_shared` should not refer to a type `U[N]` for runtime N","2025-11 (Kona)","","","[#171415](https://github.com/llvm/llvm-project/issues/171415)",""
"[LWG4452](https://wg21.link/LWG4452)","Make *deref-move* constexpr","2025-11 (Kona)","{{Complete}}","23","[#171416](https://github.com/llvm/llvm-project/issues/171416)",""
"[LWG4455](https://wg21.link/LWG4455)","Add missing constraint to `basic-sender::get_completion_signatures` definition","2025-11 (Kona)","","","[#171417](https://github.com/llvm/llvm-project/issues/171417)",""
"[LWG4456](https://wg21.link/LWG4456)","Decay `Data` and `Child` in `make-sender`","2025-11 (Kona)","","","[#171418](https://github.com/llvm/llvm-project/issues/171418)",""
"[LWG4459](https://wg21.link/LWG4459)","Protect `get_completion_signatures` fold expression from overloaded commas","2025-11 (Kona)","","","[#171419](https://github.com/llvm/llvm-project/issues/171419)",""
"[LWG4461](https://wg21.link/LWG4461)","`stop-when` needs to evaluate unstoppable tokens","2025-11 (Kona)","","","[#171420](https://github.com/llvm/llvm-project/issues/171420)",""
"[LWG4462](https://wg21.link/LWG4462)","Algorithm requirements don't describe semantics of `s - i` well","2025-11 (Kona)","","","[#171421](https://github.com/llvm/llvm-project/issues/171421)",""
"[LWG4463](https://wg21.link/LWG4463)","Change wording to 'model' from 'subsumes' in [algorithms.parallel.user]","2025-11 (Kona)","","","[#171422](https://github.com/llvm/llvm-project/issues/171422)",""
"[LWG4464](https://wg21.link/LWG4464)","§[alg.merge] Wording tweaks","2025-11 (Kona)","","","[#171423](https://github.com/llvm/llvm-project/issues/171423)",""
"[LWG4465](https://wg21.link/LWG4465)","§[alg.partitions] Clarify *Returns:* element","2025-11 (Kona)","","","[#171424](https://github.com/llvm/llvm-project/issues/171424)",""
"","","","","","",""
"[LWG2414](https://wg21.link/LWG2414)","Member function reentrancy should be implementation-defined","2026-03 (Croydon)","","","[#189805](https://github.com/llvm/llvm-project/issues/189805)",""
"[LWG2746](https://wg21.link/LWG2746)","Inconsistency between requirements for `emplace` between `optional` and `variant`","2026-03 (Croydon)","","","[#189806](https://github.com/llvm/llvm-project/issues/189806)",""
"[LWG3504](https://wg21.link/LWG3504)","`condition_variable::wait_for` is overspecified","2026-03 (Croydon)","","","[#189807](https://github.com/llvm/llvm-project/issues/189807)",""
"[LWG3599](https://wg21.link/LWG3599)","The `const` overload of `lazy_split_view::begin` should be constrained by `const Pattern`","2026-03 (Croydon)","{{Complete}}","24","[#189808](https://github.com/llvm/llvm-project/issues/189808)",""
"[LWG3662](https://wg21.link/LWG3662)","`basic_string::append/assign(NTBS, pos, n)` suboptimal","2026-03 (Croydon)","{{Complete}}","23","[#189809](https://github.com/llvm/llvm-project/issues/189809)",""
"[LWG3777](https://wg21.link/LWG3777)","Common `cartesian_product_view` produces an invalid range if the first range is input and one of the ranges is empty","2026-03 (Croydon)","","","[#189810](https://github.com/llvm/llvm-project/issues/189810)",""
"[LWG3797](https://wg21.link/LWG3797)","`elements_view` insufficiently constrained","2026-03 (Croydon)","","","[#189811](https://github.com/llvm/llvm-project/issues/189811)",""
"[LWG3831](https://wg21.link/LWG3831)","Two-digit formatting of negative `year` is ambiguous","2026-03 (Croydon)","","","[#189812](https://github.com/llvm/llvm-project/issues/189812)",""
"[LWG3891](https://wg21.link/LWG3891)","LWG3870 breaks `std::expected<cv T, E>`","2026-03 (Croydon)","","","[#189813](https://github.com/llvm/llvm-project/issues/189813)",""
"[LWG4026](https://wg21.link/LWG4026)","Assignment operators of `std::expected` should propagate triviality","2026-03 (Croydon)","","","[#189814](https://github.com/llvm/llvm-project/issues/189814)",""
"[LWG4090](https://wg21.link/LWG4090)","Underspecified use of locale facets for locale-dependent `std::format`","2026-03 (Croydon)","","","[#189815](https://github.com/llvm/llvm-project/issues/189815)",""
"[LWG4122](https://wg21.link/LWG4122)","Ill-formed `operator<=>` can cause hard error when instantiating `std::inplace_vector`","2026-03 (Croydon)","","","[#189816](https://github.com/llvm/llvm-project/issues/189816)",""
"[LWG4130](https://wg21.link/LWG4130)","Preconditions for `std::launder` might be overly strict","2026-03 (Croydon)","","","[#189817](https://github.com/llvm/llvm-project/issues/189817)",""
"[LWG4133](https://wg21.link/LWG4133)","`awaitable-receiver`'s members are potentially throwing","2026-03 (Croydon)","","","[#189818](https://github.com/llvm/llvm-project/issues/189818)",""
"[LWG4143](https://wg21.link/LWG4143)","`execution::set_value/set_error/set_stopped/start` should always return void","2026-03 (Croydon)","","","[#189819](https://github.com/llvm/llvm-project/issues/189819)",""
"[LWG4151](https://wg21.link/LWG4151)","Precondition of `inplace_vector::swap`","2026-03 (Croydon)","","","[#189820](https://github.com/llvm/llvm-project/issues/189820)",""
"[LWG4223](https://wg21.link/LWG4223)","Deduction guides for maps are mishandling tuples and references","2026-03 (Croydon)","","","[#189821](https://github.com/llvm/llvm-project/issues/189821)",""
"[LWG4259](https://wg21.link/LWG4259)","P1148R0 changed the return values of searching functions of `std::basic_string` on some platforms","2026-03 (Croydon)","","","[#189822](https://github.com/llvm/llvm-project/issues/189822)",""
"[LWG4290](https://wg21.link/LWG4290)","Missing *Mandates* clauses on `is_sufficiently_aligned`","2026-03 (Croydon)","","","[#189823](https://github.com/llvm/llvm-project/issues/189823)",""
"[LWG4314](https://wg21.link/LWG4314)","Missing move in `mdspan` layout `mapping::operator()`","2026-03 (Croydon)","","","[#189824](https://github.com/llvm/llvm-project/issues/189824)",""
"[LWG4324](https://wg21.link/LWG4324)","`unique_ptr<void>::operator*` is not SFINAE-friendly","2026-03 (Croydon)","{{Complete}}","23","[#189825](https://github.com/llvm/llvm-project/issues/189825)",""
"[LWG4325](https://wg21.link/LWG4325)","`std::indirect`'s `operator==` still does not support incomplete types","2026-03 (Croydon)","","","[#189826](https://github.com/llvm/llvm-project/issues/189826)",""
"[LWG4339](https://wg21.link/LWG4339)","`task`'s coroutine frame may be released late","2026-03 (Croydon)","","","[#189827](https://github.com/llvm/llvm-project/issues/189827)",""
"[LWG4347](https://wg21.link/LWG4347)","`task`'s stop source is always created","2026-03 (Croydon)","","","[#189828](https://github.com/llvm/llvm-project/issues/189828)",""
"[LWG4354](https://wg21.link/LWG4354)","Reconsider `weakly_parallel` as the default `forward_progress_guarantee`","2026-03 (Croydon)","","","[#189829](https://github.com/llvm/llvm-project/issues/189829)",""
"[LWG4361](https://wg21.link/LWG4361)","`awaitable-receiver::set_value` should use *Mandates* instead of constraints","2026-03 (Croydon)","","","[#189830](https://github.com/llvm/llvm-project/issues/189830)",""
"[LWG4378](https://wg21.link/LWG4378)","Inconsistency between `std::basic_string`'s `data()` and `operator[]` specification","2026-03 (Croydon)","","","[#189831](https://github.com/llvm/llvm-project/issues/189831)",""
"[LWG4379](https://wg21.link/LWG4379)","`hive::reserve()` needs *Throws:* element adjusted to match block min/max considerations","2026-03 (Croydon)","","","[#189832](https://github.com/llvm/llvm-project/issues/189832)",""
"[LWG4453](https://wg21.link/LWG4453)","`atomic_ref<cv T>::required_alignment` should be the same as for `T`","2026-03 (Croydon)","","","[#189833](https://github.com/llvm/llvm-project/issues/189833)",""
"[LWG4454](https://wg21.link/LWG4454)","`assert` should forbid `co_await` and `co_yield`","2026-03 (Croydon)","","","[#189834](https://github.com/llvm/llvm-project/issues/189834)",""
"[LWG4457](https://wg21.link/LWG4457)","freestanding for `stable_sort`, `stable_partition` and `inplace_merge`","2026-03 (Croydon)","","","[#189835](https://github.com/llvm/llvm-project/issues/189835)",""
"[LWG4460](https://wg21.link/LWG4460)","Missing *Throws:* for last `variant` constructor","2026-03 (Croydon)","","","[#189836](https://github.com/llvm/llvm-project/issues/189836)",""
"[LWG4467](https://wg21.link/LWG4467)","`hive::splice` can throw `bad_alloc`","2026-03 (Croydon)","","","[#189837](https://github.com/llvm/llvm-project/issues/189837)",""
"[LWG4468](https://wg21.link/LWG4468)","§[const.wrap.class] ""`operator decltype(auto)`"" is ill-formed","2026-03 (Croydon)","{{Complete}}","23","[#189838](https://github.com/llvm/llvm-project/issues/189838)",""
"[LWG4469](https://wg21.link/LWG4469)","Names of parameters of addressable function shall remain unspecified","2026-03 (Croydon)","","","[#189839](https://github.com/llvm/llvm-project/issues/189839)",""
"[LWG4472](https://wg21.link/LWG4472)","`std::atomic_ref<const T>` can be constructed from temporaries","2026-03 (Croydon)","{{Complete}}","23","[#189840](https://github.com/llvm/llvm-project/issues/189840)",""
"[LWG4474](https://wg21.link/LWG4474)","""`round_to_nearest`"" rounding mode is unclear","2026-03 (Croydon)","","","[#189841](https://github.com/llvm/llvm-project/issues/189841)",""
"[LWG4476](https://wg21.link/LWG4476)","`run_loop` should not have a `set_error` completion","2026-03 (Croydon)","","","[#189842](https://github.com/llvm/llvm-project/issues/189842)",""
"[LWG4477](https://wg21.link/LWG4477)","Placement `operator delete` should be constexpr","2026-03 (Croydon)","{{Complete}}","23","[#189843](https://github.com/llvm/llvm-project/issues/189843)",""
"[LWG4478](https://wg21.link/LWG4478)","`meta::has_identifier` is not specified for annotations","2026-03 (Croydon)","","","[#189844](https://github.com/llvm/llvm-project/issues/189844)",""
"[LWG4480](https://wg21.link/LWG4480)","`<stdatomic.h>` should provide `ATOMIC_CHAR8_T_LOCK_FREE`","2026-03 (Croydon)","","","[#189845](https://github.com/llvm/llvm-project/issues/189845)",""
"[LWG4481](https://wg21.link/LWG4481)","Disallow `chrono::duration<const T, P>`","2026-03 (Croydon)","{{Complete}}","23","[#189846](https://github.com/llvm/llvm-project/issues/189846)",""
"[LWG4483](https://wg21.link/LWG4483)","Multidimensional arrays are not supported by `meta::reflect_constant_array` and related functions","2026-03 (Croydon)","","","[#189847](https://github.com/llvm/llvm-project/issues/189847)",""
