"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"[P3836R2](https://wg21.link/P3836R2)","Make `optional<T&>` trivially copyable","2025-11 (Kona)","{{Complete}}","22","[#171275](https://github.com/llvm/llvm-project/issues/171275)",""
"[P3860R1](https://wg21.link/P3860R1)","Proposed Resolution for NB Comment GB13-309 `atomic_ref<T>` is not convertible to `atomic_ref<const T>`","2025-11 (Kona)","","","[#171276](https://github.com/llvm/llvm-project/issues/171276)",""
"[P3388R3](https://wg21.link/P3388R3)","When Do You Know `connect` Doesn’t Throw?","2025-11 (Kona)","","","[#171277](https://github.com/llvm/llvm-project/issues/171277)",""
"[P3774R1](https://wg21.link/P3774R1)","Rename `std::nontype`, and make it broadly useful","2025-11 (Kona)","","","[#171279](https://github.com/llvm/llvm-project/issues/171279)",""
"[P3819R0](https://wg21.link/P3819R0)","Remove `evaluation_exception()` from contract-violation handling for C++26","2025-11 (Kona)","","","[#171280](https://github.com/llvm/llvm-project/issues/171280)",""
"[P3612R1](https://wg21.link/P3612R1)","Harmonize proxy-reference operations (LWG 3638 and 4187)","2025-11 (Kona)","","","[#171281](https://github.com/llvm/llvm-project/issues/171281)",""
"[P3778R0](https://wg21.link/P3778R0)","Fix for `type_order` template definition","2025-11 (Kona)","{{Complete}}","24","[#171284](https://github.com/llvm/llvm-project/issues/171284)",""
"[P1789R3](https://wg21.link/P1789R3)","Library Support for Expansion Statements","2025-11 (Kona)","{{Complete}}","22","[#167268](https://github.com/llvm/llvm-project/issues/167268)",""
"[P3922R1](https://wg21.link/P3922R1)","Missing deduction guide from `simd::mask` to `simd::vec`","2025-11 (Kona)","","","[#171285](https://github.com/llvm/llvm-project/issues/171285)",""
"[P3878R1](https://wg21.link/P3878R1)","Standard library hardening should not use the 'observe' semantic","2025-11 (Kona)","","","[#171286](https://github.com/llvm/llvm-project/issues/171286)",""
"[P3887R1](https://wg21.link/P3887R1)","Make `when_all` a Ronseal Algorithm","2025-11 (Kona)","","","[#171289](https://github.com/llvm/llvm-project/issues/171289)",""
"[P3923R0](https://wg21.link/P3923R0)","Additional NB comment resolutions for Kona 2025","2025-11 (Kona)","","","[#171290](https://github.com/llvm/llvm-project/issues/171290)",""
"[P3371R5](https://wg21.link/P3371R5)","Fix C++26 by making the rank-1, rank-2, rank-k, and rank-2k updates consistent with the BLAS","2025-11 (Kona)","","","[#171291](https://github.com/llvm/llvm-project/issues/171291)",""
"[P3391R2](https://wg21.link/P3391R2)","`constexpr` `std::format`","2025-11 (Kona)","","","[#171292](https://github.com/llvm/llvm-project/issues/171292)",""
"[P3913R1](https://wg21.link/P3913R1)","Optimize `for std::optional` in range adaptors","2025-11 (Kona)","","","[#171294](https://github.com/llvm/llvm-project/issues/171294)",""
"","","","","","",""
"[P3726R2](https://wg21.link/P3726R2)","Adjustments to Union Lifetime Rules","2026-03 (Croydon)","","","[#189560](https://github.com/llvm/llvm-project/issues/189560)",""
"[P3690R1](https://wg21.link/P3690R1)","Consistency fix: Make `simd` reductions SIMD-generic","2026-03 (Croydon)","","","[#189562](https://github.com/llvm/llvm-project/issues/189562)",""
"[P3844R4](https://wg21.link/P3844R4)","Reword [simd.math] for consteval conversions","2026-03 (Croydon)","","","[#189579](https://github.com/llvm/llvm-project/issues/189579)",""
"[P3932R0](https://wg21.link/P3932R0)","Fix LWG4470: Fix integer-from in [simd]","2026-03 (Croydon)","","","[#189591](https://github.com/llvm/llvm-project/issues/189591)",""
"[P4012R1](https://wg21.link/P4012R1)","Value-preserving consteval broadcast to `simd::vec`","2026-03 (Croydon)","","","[#189592](https://github.com/llvm/llvm-project/issues/189592)",""
"[P3886R0](https://wg21.link/P3886R0)","Wording for AT1-057","2026-03 (Croydon)","","","[#189593](https://github.com/llvm/llvm-project/issues/189593)",""
"[P3936R1](https://wg21.link/P3936R1)","Safer `atomic_ref::address` (FR-030-310)","2026-03 (Croydon)","{{Complete}}","23","[#189594](https://github.com/llvm/llvm-project/issues/189594)",""
"[P4140R0](https://wg21.link/P4140R0)","Proposed resolution for US70-126: allow incomplete types in type_order","2026-03 (Croydon)","{{Complete}}","24","[#189595](https://github.com/llvm/llvm-project/issues/189595)",""
"[P3373R4](https://wg21.link/P3373R4)","Of Operation States and Their Lifetimes","2026-03 (Croydon)","","","[#189597](https://github.com/llvm/llvm-project/issues/189597)",""
"[P3986R1](https://wg21.link/P3986R1)","A Wording Strategy for Inlinable Receivers","2026-03 (Croydon)","","","[#189598](https://github.com/llvm/llvm-project/issues/189598)",""
"[P3059R2](https://wg21.link/P3059R2)","Making user-defined constructors of view iterators/sentinels private","2026-03 (Croydon)","{{Complete}}","24","[#189599](https://github.com/llvm/llvm-project/issues/189599)",""
"[P3725R3](https://wg21.link/P3725R3)","Filter View Extensions for Safer Use, Rev 3","2026-03 (Croydon)","","","[#189601](https://github.com/llvm/llvm-project/issues/189601)",""
"[P3828R1](https://wg21.link/P3828R1)","Rename the to_input view to as_input","2026-03 (Croydon)","","","[#189602](https://github.com/llvm/llvm-project/issues/189602)",""
"[P3795R2](https://wg21.link/P3795R2)","Miscellaneous Reflection Cleanup","2026-03 (Croydon)","","","[#189603](https://github.com/llvm/llvm-project/issues/189603)",""
"[P3948R1](https://wg21.link/P3948R1)","`constant_wrapper` is the only tool needed for passing constant expressions via function arguments","2026-03 (Croydon)","{{Complete}}","24","[#189604](https://github.com/llvm/llvm-project/issues/189604)",""
"[P3978R3](https://wg21.link/P3978R3)","`constant_wrapper` should unwrap on call and subscript","2026-03 (Croydon)","{{Complete}}","23","[#189605](https://github.com/llvm/llvm-project/issues/189605)",""
"[P3961R1](https://wg21.link/P3961R1)","Less double indirection in `function_ref` (RU-220)","2026-03 (Croydon)","{{Complete}}","24","[#189606](https://github.com/llvm/llvm-project/issues/189606)",""
"[P3981R2](https://wg21.link/P3981R2)","Better return types in `std::inplace_vector` and `std::exception_ptr_cast`","2026-03 (Croydon)","","","[#189607](https://github.com/llvm/llvm-project/issues/189607)",""
"[P4022R0](https://wg21.link/P4022R0)","Remove `try_append_range` from `inplace_vector` for now","2026-03 (Croydon)","","","[#189608](https://github.com/llvm/llvm-project/issues/189608)",""
"[P4037R1](https://wg21.link/P4037R1)","Supporting `signed char` and `unsigned char` in random number generation","2026-03 (Croydon)","","","[#189609](https://github.com/llvm/llvm-project/issues/189609)",""
"[P3450R1](https://wg21.link/P3450R1)","Extend `std::is_within_lifetime`","2026-03 (Croydon)","","","[#189610](https://github.com/llvm/llvm-project/issues/189610)",""
"[P3982R2](https://wg21.link/P3982R2)","Split `strided_slice` into `extent_slice` and `range_slice` for C++26","2026-03 (Croydon)","","","[#189611](https://github.com/llvm/llvm-project/issues/189611)",""
"[P4144R1](https://wg21.link/P4144R1)","Remove `span`'s `initializer_list` constructor for C++26","2026-03 (Croydon)","{{Complete}}","23","[#189612](https://github.com/llvm/llvm-project/issues/189612)",""
"[P3804R2](https://wg21.link/P3804R2)","Iterating on `parallel_scheduler`","2026-03 (Croydon)","","","[#189616](https://github.com/llvm/llvm-project/issues/189616)",""
"[P3787R2](https://wg21.link/P3787R2)","Adjoints to ""Enabling list-initialization for algorithms"": `uninitialized_fill`","2026-03 (Croydon)","","","[#189618](https://github.com/llvm/llvm-project/issues/189618)",""
"[P3842R2](https://wg21.link/P3842R2)","A conservative fix for constexpr uncaught_exceptions() and current_exception()","2026-03 (Croydon)","","","[#189619](https://github.com/llvm/llvm-project/issues/189619)",""
"[P3826R5](https://wg21.link/P3826R5)","Fix Sender Algorithm Customization","2026-03 (Croydon)","","","[#189620](https://github.com/llvm/llvm-project/issues/189620)",""
"[P3980R1](https://wg21.link/P3980R1)","Task's Allocator Use","2026-03 (Croydon)","","","[#189621](https://github.com/llvm/llvm-project/issues/189621)",""
"[P4156R0](https://wg21.link/P4156R0)","Rename meta::has_ellipsis_parameter to meta::is_vararg_function","2026-03 (Croydon)","","","[#189622](https://github.com/llvm/llvm-project/issues/189622)",""
"[P3953R3](https://wg21.link/P3953R3)","Rename `std::runtime_format`","2026-03 (Croydon)","{{Complete}}","23","[#189624](https://github.com/llvm/llvm-project/issues/189624)",""
"[P4052R0](https://wg21.link/P4052R0)","Renaming saturation arithmetic functions","2026-03 (Croydon)","{{Complete}}","23","[#189589](https://github.com/llvm/llvm-project/issues/189589)",""
"[P3941R4](https://wg21.link/P3941R4)","Scheduler Affinity","2026-03 (Croydon)","","","[#189627](https://github.com/llvm/llvm-project/issues/189627)",""
"[P3856R8](https://wg21.link/P3856R8)","New reflection metafunction - is_structural_type (US NB comment 49)","2026-03 (Croydon)","","","[#189625](https://github.com/llvm/llvm-project/issues/189625)",""
"[P3927R2](https://wg21.link/P3927R2)","`task_scheduler` support for parallel `bulk` execution","2026-03 (Croydon)","","","[#189629](https://github.com/llvm/llvm-project/issues/189629)",""
"[P4151R1](https://wg21.link/P4151R1)","Rename `affine_on`","2026-03 (Croydon)","","","[#189631](https://github.com/llvm/llvm-project/issues/189631)",""
"[P4159R0](https://wg21.link/P4159R0)","Make `sender_in` and `receiver_of` exposition-only","2026-03 (Croydon)","","","[#189632](https://github.com/llvm/llvm-project/issues/189632)",""
"[P4154R0](https://wg21.link/P4154R0)","Renaming various execution things","2026-03 (Croydon)","","","[#189633](https://github.com/llvm/llvm-project/issues/189633)",""
"","","","","","",""
