"Issue #","Issue Name","Meeting","Status","First released version","Notes"
"`LWG3141 <https://wg21.link/LWG3141>`__","``CopyConstructible``\  doesn't preserve source values","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3150 <https://wg21.link/LWG3150>`__","``UniformRandomBitGenerator``\  should validate ``min``\  and ``max``\ ","2020-02 (Prague)","|Complete|","13",""
"`LWG3175 <https://wg21.link/LWG3175>`__","The ``CommonReference``\  requirement of concept ``SwappableWith``\  is not satisfied in the example","2020-02 (Prague)","|Complete|","13",""
"`LWG3194 <https://wg21.link/LWG3194>`__","``ConvertibleTo``\  prose does not match code","2020-02 (Prague)","|Complete|","13",""
"`LWG3200 <https://wg21.link/LWG3200>`__","``midpoint``\  should not constrain ``T``\  is complete","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3201 <https://wg21.link/LWG3201>`__","``lerp``\  should be marked as ``noexcept``\ ","2020-02 (Prague)","|Complete|","",""
"`LWG3226 <https://wg21.link/LWG3226>`__","``zoned_time``\  constructor from ``string_view``\  should accept ``zoned_time<Duration2, TimeZonePtr2>``\ ","2020-02 (Prague)","|Complete|","19",""
"`LWG3233 <https://wg21.link/LWG3233>`__","Broken requirements for ``shared_ptr``\  converting constructors","2020-02 (Prague)","|Complete|","19",""
"`LWG3237 <https://wg21.link/LWG3237>`__","LWG 3038 and 3190 have inconsistent PRs","2020-02 (Prague)","|Complete|","16",""
"`LWG3238 <https://wg21.link/LWG3238>`__","Insufficiently-defined behavior of ``std::function``\  deduction guides","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3242 <https://wg21.link/LWG3242>`__","``std::format``\ : missing rules for ``arg-id``\  in ``width``\  and ``precision``\ ","2020-02 (Prague)","|Complete|","14",""
"`LWG3243 <https://wg21.link/LWG3243>`__","``std::format``\  and negative zeroes","2020-02 (Prague)","|Complete|","14",""
"`LWG3247 <https://wg21.link/LWG3247>`__","``ranges::iter_move``\  should perform ADL-only lookup of ``iter_move``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3248 <https://wg21.link/LWG3248>`__","``std::format``\  ``#b``\ , ``#B``\ , ``#o``\ , ``#x``\ , and ``#X``\   presentation types misformat negative numbers","2020-02 (Prague)","|Complete|","14",""
"`LWG3250 <https://wg21.link/LWG3250>`__","``std::format``\ : ``#``\  (alternate form) for NaN and inf","2020-02 (Prague)","|Complete|","14",""
"`LWG3251 <https://wg21.link/LWG3251>`__","Are ``std::format``\  alignment specifiers applied to string arguments?","2020-02 (Prague)","|Complete|","14",""
"`LWG3252 <https://wg21.link/LWG3252>`__","Parse locale's aware modifiers for commands are not consistent with POSIX spec","2020-02 (Prague)","","",""
"`LWG3254 <https://wg21.link/LWG3254>`__","Strike ``stop_token``\ 's ``operator!=``\ ","2020-02 (Prague)","|Complete|","17",""
"`LWG3255 <https://wg21.link/LWG3255>`__","``span``\ 's ``array``\  constructor is too strict","2020-02 (Prague)","|Complete|","",""
"`LWG3260 <https://wg21.link/LWG3260>`__","``year_month*``\  arithmetic rejects durations convertible to years","2020-02 (Prague)","","",""
"`LWG3262 <https://wg21.link/LWG3262>`__","Formatting of negative durations is not specified","2020-02 (Prague)","|Complete|","16",""
"`LWG3264 <https://wg21.link/LWG3264>`__","``sized_range``\  and ``ranges::size``\  redundantly use ``disable_sized_range``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3269 <https://wg21.link/LWG3269>`__","Parse manipulators do not specify the result of the extraction from stream","2020-02 (Prague)","","",""
"`LWG3270 <https://wg21.link/LWG3270>`__","Parsing and formatting ``%j``\  with ``duration``\ s","2020-02 (Prague)","|Partial|","",""
"`LWG3280 <https://wg21.link/LWG3280>`__","View converting constructors can cause constraint recursion and are unneeded","2020-02 (Prague)","|Complete|","15",""
"`LWG3281 <https://wg21.link/LWG3281>`__","Conversion from ``*pair-like*``\  types to ``subrange``\  is a silent semantic promotion","2020-02 (Prague)","|Complete|","13",""
"`LWG3282 <https://wg21.link/LWG3282>`__","``subrange``\  converting constructor should disallow derived to base conversions","2020-02 (Prague)","|Complete|","15",""
"`LWG3284 <https://wg21.link/LWG3284>`__","``random_access_iterator``\  semantic constraints accidentally promote difference type using unary negate","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3285 <https://wg21.link/LWG3285>`__","The type of a customization point object shall satisfy ``semiregular``\ ","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3286 <https://wg21.link/LWG3286>`__","``ranges::size``\  is not required to be valid after a call to ``ranges::begin``\  on an input range","2020-02 (Prague)","|Complete|","15",""
"`LWG3291 <https://wg21.link/LWG3291>`__","``iota_view::iterator``\  has the wrong ``iterator_category``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3292 <https://wg21.link/LWG3292>`__","``iota_view``\  is under-constrained","2020-02 (Prague)","|Complete|","15",""
"`LWG3294 <https://wg21.link/LWG3294>`__","``zoned_time``\  deduction guides misinterprets ``string``\ /``char*``\ ","2020-02 (Prague)","|Complete|","19",""
"`LWG3296 <https://wg21.link/LWG3296>`__","Inconsistent default argument for ``basic_regex<>::assign``\ ","2020-02 (Prague)","|Complete|","",""
"`LWG3299 <https://wg21.link/LWG3299>`__","Pointers don't need customized iterator behavior","2020-02 (Prague)","|Complete|","15",""
"`LWG3300 <https://wg21.link/LWG3300>`__","Non-array ``ssize``\  overload is underconstrained","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3301 <https://wg21.link/LWG3301>`__","``transform_view::iterator``\  has incorrect ``iterator_category``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3302 <https://wg21.link/LWG3302>`__","Range adaptor objects ``keys``\  and ``values``\  are unspecified","2020-02 (Prague)","|Complete|","16",""
"`LWG3303 <https://wg21.link/LWG3303>`__","Bad ""``constexpr``\ "" marker for ``destroy/destroy_n``\ ","2020-02 (Prague)","","",""
"`LWG3304 <https://wg21.link/LWG3304>`__","Allocate functions of ``std::polymorphic_allocator``\  should require ``[[nodiscard]]``\ ","2020-02 (Prague)","|Complete|","16",""
"`LWG3307 <https://wg21.link/LWG3307>`__","``std::allocator<void>().allocate(n)``\ ","2020-02 (Prague)","|Complete|","20",""
"`LWG3310 <https://wg21.link/LWG3310>`__","Replace ``SIZE_MAX``\  with ``numeric_limits<size_t>::max()``\ ","2020-02 (Prague)","|Complete|","16",""
"`LWG3313 <https://wg21.link/LWG3313>`__","``join_view::iterator::operator--``\  is incorrectly constrained","2020-02 (Prague)","|Complete|","14",""
"`LWG3314 <https://wg21.link/LWG3314>`__","Is stream insertion behavior locale dependent when ``Period::type``\  is ``micro``\ ?","2020-02 (Prague)","|Complete|","16",""
"`LWG3315 <https://wg21.link/LWG3315>`__","LWG3315: Correct Allocator Default Behavior","2020-02 (Prague)","|Complete|","",""
"`LWG3316 <https://wg21.link/LWG3316>`__","Correctly define epoch for ``utc_clock``\  / ``utc_timepoint``\ ","2020-02 (Prague)","","",""
"`LWG3317 <https://wg21.link/LWG3317>`__","Incorrect ``operator<<``\  for floating-point durations","2020-02 (Prague)","|Complete|","16",""
"`LWG3318 <https://wg21.link/LWG3318>`__","Clarify whether clocks can represent time before their epoch","2020-02 (Prague)","","",""
"`LWG3319 <https://wg21.link/LWG3319>`__","Properly reference specification of IANA time zone database","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3320 <https://wg21.link/LWG3320>`__","``span::cbegin/cend``\  methods produce different results than ``std::[ranges::]cbegin/cend``\ ","2020-02 (Prague)","|Complete|","",""
"`LWG3321 <https://wg21.link/LWG3321>`__","``uninitialized_construct_using_allocator``\  should use ``construct_at``\ ","2020-02 (Prague)","|Complete|","16",""
"`LWG3323 <https://wg21.link/LWG3323>`__","``*has-tuple-element*``\  helper concept needs ``convertible_to``\ ","2020-02 (Prague)","|Complete|","16",""
"`LWG3324 <https://wg21.link/LWG3324>`__","Special-case ``std::strong/weak/partial_order``\  for pointers","2020-02 (Prague)","|Complete|","14",""
"`LWG3325 <https://wg21.link/LWG3325>`__","Constrain return type of transformation function for ``transform_view``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3326 <https://wg21.link/LWG3326>`__","``enable_view``\  has false positives","2020-02 (Prague)","|Complete|","15",""
"`LWG3327 <https://wg21.link/LWG3327>`__","Format alignment specifiers vs. text direction","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3328 <https://wg21.link/LWG3328>`__","Clarify that ``std::string``\  is not good for UTF-8","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3329 <https://wg21.link/LWG3329>`__","``totally_ordered_with``\  both directly and indirectly requires ``common_reference_with``\ ","2020-02 (Prague)","|Complete|","13",""
"`LWG3330 <https://wg21.link/LWG3330>`__","Include ``<compare>``\  from most library headers","2020-02 (Prague)","|Complete|","13",""
"`LWG3331 <https://wg21.link/LWG3331>`__","Define ``totally_ordered/_with``\  in terms of ``partially-ordered-with``\ ","2020-02 (Prague)","|Complete|","13",""
"`LWG3332 <https://wg21.link/LWG3332>`__","Issue in |sect|\ [time.format]","2020-02 (Prague)","|Complete|","16",""
"`LWG3334 <https://wg21.link/LWG3334>`__","``basic_osyncstream``\  move assignment and destruction calls ``basic_syncbuf::emit()``\  twice","2020-02 (Prague)","|Complete|","18",""
"`LWG3335 <https://wg21.link/LWG3335>`__","Resolve C++20 NB comments US 273 and GB 274","2020-02 (Prague)","|Complete|","15",""
"`LWG3338 <https://wg21.link/LWG3338>`__","Rename ``default_constructible``\  to ``default_initializable``\ ","2020-02 (Prague)","|Complete|","13",""
"`LWG3340 <https://wg21.link/LWG3340>`__","Formatting functions should throw on argument/format string mismatch in |sect|\ [format.functions]","2020-02 (Prague)","|Complete|","14",""
"`LWG3346 <https://wg21.link/LWG3346>`__","``pair``\  and ``tuple``\  copy and move constructor have backwards specification","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3347 <https://wg21.link/LWG3347>`__","``std::pair<T, U>``\  now requires ``T``\  and ``U``\  to be less-than-comparable","2020-02 (Prague)","|Complete|","17",""
"`LWG3348 <https://wg21.link/LWG3348>`__","``__cpp_lib_unwrap_ref``\  in wrong header","2020-02 (Prague)","|Complete|","12",""
"`LWG3349 <https://wg21.link/LWG3349>`__","Missing ``__cpp_lib_constexpr_complex``\  for P0415R1","2020-02 (Prague)","|Complete|","16",""
"`LWG3350 <https://wg21.link/LWG3350>`__","Simplify return type of ``lexicographical_compare_three_way``\ ","2020-02 (Prague)","|Complete|","17",""
"`LWG3351 <https://wg21.link/LWG3351>`__","``ranges::enable_safe_range``\  should not be constrained","2020-02 (Prague)","|Complete|","15",""
"`LWG3352 <https://wg21.link/LWG3352>`__","``strong_equality``\  isn't a thing","2020-02 (Prague)","|Complete|","19",""
"`LWG3354 <https://wg21.link/LWG3354>`__","``has_strong_structural_equality``\  has a meaningless definition","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3355 <https://wg21.link/LWG3355>`__","The memory algorithms should support move-only input iterators introduced by P1207","2020-02 (Prague)","|Complete|","15",""
"`LWG3356 <https://wg21.link/LWG3356>`__","``__cpp_lib_nothrow_convertible``\  should be ``__cpp_lib_is_nothrow_convertible``\ ","2020-02 (Prague)","|Complete|","12",""
"`LWG3358 <https://wg21.link/LWG3358>`__","|sect|\ [span.cons] is mistaken that ``to_address``\  can throw","2020-02 (Prague)","|Complete|","17",""
"`LWG3359 <https://wg21.link/LWG3359>`__","``<chrono>``\  leap second support should allow for negative leap seconds","2020-02 (Prague)","|In Progress|","",""
"`LWG3360 <https://wg21.link/LWG3360>`__","``three_way_comparable_with``\  is inconsistent with similar concepts","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3362 <https://wg21.link/LWG3362>`__","Strike ``stop_source``\ 's ``operator!=``\ ","2020-02 (Prague)","|Complete|","17",""
"`LWG3363 <https://wg21.link/LWG3363>`__","``drop_while_view``\  should opt-out of ``sized_range``\ ","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3364 <https://wg21.link/LWG3364>`__","Initialize data members of ranges and their iterators","2020-02 (Prague)","|Complete|","16",""
"`LWG3367 <https://wg21.link/LWG3367>`__","Integer-class conversions should not throw","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3369 <https://wg21.link/LWG3369>`__","``span``\ 's deduction-guide for built-in arrays doesn't work","2020-02 (Prague)","|Complete|","14",""
"`LWG3371 <https://wg21.link/LWG3371>`__","``visit_format_arg``\  and ``make_format_args``\  are not hidden friends","2020-02 (Prague)","|Complete|","14",""
"`LWG3372 <https://wg21.link/LWG3372>`__","``vformat_to``\  should not try to deduce ``Out``\  twice","2020-02 (Prague)","|Complete|","14",""
"`LWG3373 <https://wg21.link/LWG3373>`__","``{to,from}_chars_result``\  and ``format_to_n_result``\  need the  ""we really mean what we say"" wording","2020-02 (Prague)","|Complete|","14",""
"`LWG3374 <https://wg21.link/LWG3374>`__","P0653 + P1006 should have made the other ``std::to_address``\  overload ``constexpr``\ ","2020-02 (Prague)","|Complete|","12",""
"`LWG3375 <https://wg21.link/LWG3375>`__","``decay``\  in ``viewable_range``\  should be ``remove_cvref``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3377 <https://wg21.link/LWG3377>`__","``elements_view::iterator``\  befriends a specialization of itself","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3379 <https://wg21.link/LWG3379>`__","""``safe``\ "" in several library names is misleading","2020-02 (Prague)","|Complete|","15",""
"`LWG3380 <https://wg21.link/LWG3380>`__","``common_type``\  and comparison categories","2020-02 (Prague)","|Complete|","15",""
"`LWG3381 <https://wg21.link/LWG3381>`__","``begin``\  and ``data``\  must agree for ``contiguous_range``\ ","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3382 <https://wg21.link/LWG3382>`__","NTTP for ``pair``\  and ``array``\ ","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3383 <https://wg21.link/LWG3383>`__","|sect|\ [time.zone.leap.nonmembers] ``sys_seconds``\  should be replaced with ``seconds``\ ","2020-02 (Prague)","|Complete|","19",""
"`LWG3384 <https://wg21.link/LWG3384>`__","``transform_view::*sentinel*``\  has an incorrect ``operator-``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3385 <https://wg21.link/LWG3385>`__","``common_iterator``\  is not sufficiently constrained for non-copyable iterators","2020-02 (Prague)","|Complete|","15",""
"`LWG3387 <https://wg21.link/LWG3387>`__","|sect|\ [range.reverse.view] ``reverse_view<V>``\  unintentionally requires ``range<const V>``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3388 <https://wg21.link/LWG3388>`__","``view``\  iterator types have ill-formed ``<=>``\  operators","2020-02 (Prague)","|Complete|","16",""
"`LWG3389 <https://wg21.link/LWG3389>`__","A move-only iterator still does not have a ``counted_iterator``\ ","2020-02 (Prague)","|Complete|","15",""
"`LWG3390 <https://wg21.link/LWG3390>`__","``make_move_iterator()``\  cannot be used to construct a ``move_iterator``\  for a move-only iterator","2020-02 (Prague)","|Complete|","14",""
"`LWG3393 <https://wg21.link/LWG3393>`__","Missing/incorrect feature test macro for coroutines","2020-02 (Prague)","|Complete|","14",""
"`LWG3395 <https://wg21.link/LWG3395>`__","LWG3395: Definition for three-way comparison needs to be updated (US 152)","2020-02 (Prague)","|Nothing To Do|","",""
"`LWG3396 <https://wg21.link/LWG3396>`__","Clarify point of reference for ``source_location::current()``\  (DE 169)","2020-02 (Prague)","|Nothing To Do|","16",""
"`LWG3397 <https://wg21.link/LWG3397>`__","``ranges::basic_istream_view::iterator``\  should not provide ``iterator_category``\ ","2020-02 (Prague)","|Complete|","16",""
"`LWG3398 <https://wg21.link/LWG3398>`__","``tuple_element_t``\  is also wrong for ``const subrange``\ ","2020-02 (Prague)","|Complete|","14",""
"","","","","",""
"`LWG3446 <https://wg21.link/LWG3446>`__","``indirectly_readable_traits``\  ambiguity for types with both ``value_type``\  and ``element_type``\ ","2020-11 (Virtual)","|Complete|","13",""
